award,year,file,url,bytes,tier,project,company,page,fetched
DFA,2020,DFA_2020_01_32eeb4ca_application_20201016_V8t9f.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_V8t9f.jpg,1672687,Gold Award,Choice of Leipzig,Nanjing Han Qing Tang Design,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:46:35
DFA,2020,DFA_2020_02_45eb2ddc_application_20201016_gG7gQ.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_gG7gQ.jpg,1639562,Gold Award,"Imperfect, a shop tackling food & farming issues","6D-K co.,Ltd.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:46:44
DFA,2020,DFA_2020_03_6ba58c29_application_20201016_PgTOP.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_PgTOP.jpg,3132119,Gold Award,Izumo Taisha Saitama Branch Rebranding Project,"6D-K co.,Ltd.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:46:48
DFA,2020,DFA_2020_04_bc882ee3_application_20201016_eZkyg.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_eZkyg.jpg,1246984,Gold Award,Shinkotoni Tenburyujin,arica design inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:46:50
DFA,2020,DFA_2020_05_0cedef0a_application_20201016_k2EUk.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_k2EUk.jpg,4098146,Gold Award,Taipei Music Center Brand Video,"GRASS JELLY FILM CO., LTD.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:46:56
DFA,2020,DFA_2020_06_2c4371a8_application_20201016_e8033.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_e8033.jpg,3441951,Silver Award,2019 UABB Brand Promotion Identity,another design,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:47:02
DFA,2020,DFA_2020_07_a977a4c7_application_20201016_1ekvY.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_1ekvY.jpg,3536877,Silver Award,a poster a week,84000 Communications Limited,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:47:05
DFA,2020,DFA_2020_08_7a366d01_application_20201016_Gk0nB.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_Gk0nB.jpg,4648090,Silver Award,Bauhaus 100:Manifest of Practice in Taiwan,ken-tsai lee design lab/Taiwan tech,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:47:08
DFA,2020,DFA_2020_09_1669ff13_application_20201016_w0hgU.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_w0hgU.jpg,297525,Silver Award,Bespoke,Alphabetical,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:47:10
DFA,2020,DFA_2020_10_c402dd04_application_20201016_DzLF4.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_DzLF4.jpg,2602108,Silver Award,Danish Crown – Towards a more sustainable future,Kontrapunkt,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:47:15
DFA,2020,DFA_2020_11_dc47d4fd_application_20201016_at4NR.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_at4NR.jpg,1598546,Silver Award,Hanyi Redcloud Li,Hanyi Fonts,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:47:20
DFA,2020,DFA_2020_12_30b05d2a_application_20201016_QpAYn.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_QpAYn.jpg,773149,Silver Award,Hunhun's Notes,Day Day Up Design Consultancy,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:47:26
DFA,2020,DFA_2020_13_252159e0_application_20201016_VJBxP.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_VJBxP.jpg,3016984,Silver Award,K11 Craft & Guild Foundation,Toby Ng Design,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:47:29
